year;state;month;number;date
2004;Amazonas;Novembro;209.0;2004-01-01
2005;Amazonas;Novembro;261.0;2005-01-01
2006;Amazonas;Novembro;59.0;2006-01-01
2007;Amazonas;Novembro;90.0;2007-01-01
2008;Amazonas;Novembro;39.0;2008-01-01
2009;Amazonas;Novembro;973.0;2009-01-01
2010;Amazonas;Novembro;354.0;2010-01-01
2011;Amazonas;Novembro;399.0;2011-01-01
2012;Amazonas;Novembro;682.0;2012-01-01
2013;Amazonas;Novembro;220.0;2013-01-01
2014;Amazonas;Novembro;676.0;2014-01-01
2015;Amazonas;Novembro;1.054;2015-01-01
2016;Amazonas;Novembro;591.0;2016-01-01
2017;Amazonas;Novembro;552.0;2017-01-01
1998;Amazonas;Dezembro;196.0;1998-01-01
1999;Amazonas;Dezembro;2.0;1999-01-01
2000;Amazonas;Dezembro;60.0;2000-01-01
2001;Amazonas;Dezembro;22.0;2001-01-01
2002;Amazonas;Dezembro;44.0;2002-01-01
2003;Amazonas;Dezembro;147.0;2003-01-01
2004;Amazonas;Dezembro;53.0;2004-01-01
2005;Amazonas;Dezembro;17.0;2005-01-01
2006;Amazonas;Dezembro;23.0;2006-01-01
2007;Amazonas;Dezembro;7.0;2007-01-01
2008;Amazonas;Dezembro;0.0;2008-01-01
2009;Amazonas;Dezembro;102.0;2009-01-01
2010;Amazonas;Dezembro;123.0;2010-01-01
2011;Amazonas;Dezembro;121.0;2011-01-01
2012;Amazonas;Dezembro;80.0;2012-01-01
2013;Amazonas;Dezembro;236.0;2013-01-01
2014;Amazonas;Dezembro;293.0;2014-01-01
2015;Amazonas;Dezembro;565.0;2015-01-01
2016;Amazonas;Dezembro;133.0;2016-01-01
